L,Throughput,latency,recall,p95recall,p99recall,p95latency,p99latency,total_dist_comps,max_dist_comps,hops,t_expand(s.),t_merge(s.),t_seq(s.),t_p_expand(%),t_p_merge(%),t_p_seq(%)
10,3286.89,0.303471,0.75907,0.51,0.42,0.41,0.467,3703.97,514.056,0,0.281549,0.011008,0.00885797,92.7761,3.62737,2.91888
20,2441.25,0.408828,0.86878,0.67,0.55,0.568,0.624,5286.09,717.593,0,0.387687,0.0111103,0.00883722,94.829,2.7176,2.1616
30,1929.7,0.517398,0.91702,0.77,0.65,0.726,0.776,6822.24,919.741,0,0.496902,0.0111127,0.00876498,96.0386,2.1478,1.69405
40,1603.49,0.6228,0.94056,0.81,0.7,0.877,0.934,8280,1114.9,0,0.602097,0.0112891,0.00872135,96.6758,1.81264,1.40035
50,1368.22,0.730018,0.95631,0.85,0.75,1.033,1.115,9706.67,1306.27,0,0.70902,0.0114617,0.00881362,97.1236,1.57006,1.20732
60,1208.05,0.82692,0.96607,0.88,0.81,1.168,1.24,11031.4,1485.41,0,0.805789,0.0114961,0.00872016,97.4447,1.39023,1.05453
70,1079.93,0.925128,0.97267,0.89,0.82,1.317,1.39,12362.7,1663.13,0,0.903644,0.0115752,0.00868917,97.6777,1.2512,0.939239
80,984.77,1.0146,0.9772,0.91,0.84,1.445,1.535,13549.4,1828.27,0,0.993408,0.0115869,0.00870848,97.9116,1.14202,0.858319
90,907.343,1.10125,0.98071,0.92,0.86,1.576,1.7,14741,1983.95,0,1.07994,0.0116732,0.00870824,98.0651,1.06,0.79076
100,820.313,1.21825,0.98465,0.93,0.87,1.724,1.822,16403.8,2124.09,0,1.19557,0.0116639,0.00853825,98.1384,0.957436,0.700864
125,706.999,1.41356,0.98924,0.95,0.91,2.02,2.132,19211.9,2475.51,0,1.39004,0.0119324,0.00845957,98.3361,0.844137,0.598459
150,615.586,1.62355,0.99169,0.96,0.92,2.3,2.432,21989.8,2831.72,0,1.59996,0.0120285,0.00837445,98.5475,0.740876,0.515812
175,550.111,1.81688,0.99332,0.97,0.93,2.591,2.741,24585.5,3166.55,0,1.79225,0.0122564,0.00830936,98.6442,0.674583,0.457342
200,499.893,1.9995,0.99445,0.97,0.94,2.856,3.04,27017.3,3472.7,0,1.9766,0.0123122,0.00832653,98.8547,0.615761,0.41643
225,459.137,2.17709,0.9953,0.98,0.95,3.093,3.306,29416.4,3780.65,0,2.1539,0.0124347,0.0082562,98.9351,0.571164,0.379232
250,425.228,2.35075,0.99608,0.98,0.95,3.368,3.562,31724,4071.97,0,2.32846,0.0124853,0.00826788,99.0516,0.531118,0.351712
275,395.415,2.52801,0.99645,0.98,0.95,3.587,3.828,34058.3,4376.07,0,2.50549,0.0125871,0.00824308,99.1093,0.497904,0.32607
300,370.744,2.69634,0.99605,0.98,0.96,3.829,4.055,36206.4,4652.45,0,2.6737,0.0124311,0.00823617,99.1603,0.461038,0.305458
325,351.207,2.84639,0.99649,0.99,0.96,4.022,4.287,38257.5,4912.69,0,2.82355,0.0124733,0.00817585,99.1979,0.438217,0.287236
350,332.897,3.00297,0.99704,0.99,0.94,4.294,4.549,40300.5,5175.36,0,2.97971,0.0126059,0.00817442,99.2254,0.419781,0.272211
375,316.577,3.15786,0.99771,0.99,0.96,4.48,4.817,42332.9,5436.56,0,3.13444,0.012605,0.00807762,99.2582,0.399161,0.255794
400,302.566,3.30411,0.99782,0.99,0.96,4.659,4.946,44271.3,5677.25,0,3.28041,0.0127094,0.00811219,99.2828,0.384653,0.245518
425,290.508,3.44133,0.9979,0.99,0.96,4.857,5.169,46116,5917.33,0,3.41796,0.0126054,0.00811315,99.321,0.366295,0.235756
450,278.314,3.59178,0.99788,0.99,0.96,5.071,5.371,48061.7,6169.25,0,3.56839,0.0126872,0.00811672,99.3488,0.353229,0.225981
475,268.617,3.72184,0.99824,0.99,0.97,5.243,5.594,49809.8,6382.99,0,3.69824,0.0127435,0.00809526,99.366,0.342397,0.217507
500,258.541,3.86693,0.99819,0.99,0.97,5.452,5.815,51656.1,6625.08,0,3.84343,0.0128224,0.00808454,99.3924,0.331591,0.209069
525,249.607,4.00533,0.99844,0.99,0.97,5.655,5.947,53438.1,6853.04,0,3.98194,0.012749,0.00806141,99.4161,0.3183,0.201267
550,243.028,4.11379,0.99834,0.99,0.96,5.844,6.176,54913.2,7027.31,0,4.09042,0.0127513,0.00800037,99.4318,0.309966,0.194477
575,234.071,4.27125,0.99847,0.99,0.97,5.976,6.32,56869.6,7294.51,0,4.24777,0.0127423,0.00806999,99.4503,0.298326,0.188937
600,227.116,4.40209,0.99852,0.99,0.97,6.17,6.558,58596.4,7520.38,0,4.37871,0.0127263,0.00810742,99.4689,0.289097,0.184172